type,name,price,images,discount
Whisky,Macallan Double Cask 18 Years 2022,27091,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_MACAL18DC_22_1.jpg,q1730108856.pagespeed.ic.r1GaZIVsL-.jpg""]",6327
Rum,Saint James Rhum VSOP,50671,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XRSTJAMVSOP_1.jpg,q1713959073.pagespeed.ic.qb066v-rC4.jpg""]",9622
Whisky,Glen Scotia Unpeated 10 Years,3990,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_GSCOT1000_D1_1.jpg,q1713957447.pagespeed.ic.aHCryIAc8e.jpg""]",1800
Whisky,Glenallachie 35 Years 1989/,8847,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_GALLA3500_1.jpg,q1728397411.pagespeed.ic.9vspSKMl06.jpg""]",0
Whisky,Athru Knocknarea 14 Years,97015,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_ATHRU14KN_1.jpg,q1713959423.pagespeed.ic.lrqlwX-P-0.jpg""]",0
Whisky,Ardbeg Vintage_Y2K 23 Years,82745,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_ARDBE2300_1.jpg,q1719843457.pagespeed.ic.qm7ybJ0F3h.jpg""]",0
Whisky,Highland Park Harald,6490,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_HIGHL00HA_1.jpg,q1718180315.pagespeed.ic.n_p9oT8gWV.jpg""]",1301
Whisky,The Hearach,7990,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_HEARA0000_1.jpg?1713957635""]",17031
Whisky,Powers Gold Label non-chill filtered,2990,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_POWER0000_D2_1.jpg?1713963911""]",5500
Gin,Stork Club Organic Rye Gin,36277,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_XGSTORK0BR0_1.jpg?1718788703""]",0
Whisky,Glenrothes Ancestors Reserve 25 Years,86919,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_GROTHANCE_1.jpg,q1715790122.pagespeed.ic.7vs7T8KoWq.jpg""]",0
Whisky,Whisky Druid Magic Potion Batch 3,45487,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_WHIDRZAS3_1.jpg,q1713958560.pagespeed.ic.sgdYfpPnrs.jpg""]",0
Whisky,Bladnoch Alinta Classic peated,7490,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_BLADN0AL0_1.jpg,q1724226653.pagespeed.ic.XU5-oIIer7.jpg""]",0
Whisky,Dalwhinnie Distillers Edition 2006/2021,6290,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_DALWH0021_1.jpg,q1713957162.pagespeed.ic.EbiWqshhzZ.jpg""]",200
Rum,Rum Nation Panama Rum 10 Years,6263,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XRRUMNA10PA_1.jpg,q1713959016.pagespeed.ic.ENvxLTOE0z.jpg""]",35
Whisky,Remarkable Regional Malts The Asia Moon Edition,78196,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_REMAR0AU0_1.jpg,q1713959854.pagespeed.ic.fK1s26iwxm.jpg""]",72878
Whisky,Morris Smoked Muscat Barrels,17400,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_MORRI0SMB_1.jpg,q1713957731.pagespeed.ic.y8tObdQKVr.jpg""]",835
Whisky,Glenmorangie A Tale of Ice Cream,7790,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_GMORA0TI0_1.jpg,q1726834593.pagespeed.ic.VHy0wRCGal.jpg""]",700
Whisky,Caol Ila Vintage Small Batch No. 12 10 Years 2013/2023,56970,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_CAOLI13S6_1.jpg,q1714378623.pagespeed.ic.SusQvPlMjb.jpg""]",4868
Spirits,Drambuie - 1 litre,28997,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_DRAMB001L_1.jpg,q1713957704.pagespeed.ic.B3nm-uzgh8.jpg""]",0
Whisky,Kinahan's 10 Years,6490,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_KINAH1000_1.jpg?1713958105""]",2000
Whisky,Glenallachie Amontillado Sherry Finish 9 Years 2024,81157,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_GALLA09AL_1.jpg?1713957327""]",34965
Whisky,GlenWyvis 2022,97264,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_GWYVI0000_1.jpg?1713958789""]",66038
Whisky,Royal Lochnagar 12 Years,4990,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_RLOCH1200_1.jpg?1714004754""]",0
Whisky,Roe & Co,2890,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_ROECO0000_1.jpg?1713957723""]",0
Spirits,Nork Gingerbread Egg Liqueur,60349,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_NORK0LILE_1.jpg,q1713966482.pagespeed.ic.JMjBO3p9TM.jpg""]",0
Spirits,Tequila Ollitas Reposado,24978,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XTOLLIT0RE0_1.jpg,q1713961126.pagespeed.ic.lsjWJI42Cn.jpg""]",1751
Whisky,Balblair Single Cask 16 Years 2006/2023,90756,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_BALBL16SC_1.jpg,q1713957335.pagespeed.ic.XmFzUomjBk.jpg""]",0
Whisky,Linkwood Connoisseurs Choice - Cask Strength 30 Years 1991/2021,73565,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_LINKW91GM_1.jpg,q1713957451.pagespeed.ic.236FXJZ6_U.jpg""]",0
Whisky,Glen Deveron 16 Years,6490,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_GDEVE1600_1.jpg,q1713957957.pagespeed.ic.4-bF6OFg2K.jpg""]",22434
Whisky,Ondjaba Signature Edition #1,72141,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_ONDJA0SE0_1.jpg?1726233580""]",43245
Whisky,Johnnie Walker Ultimate 18 Years,6490,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_JOWAL18UL_1.jpg,q1713958171.pagespeed.ic.WPAbhRDLnb.jpg""]",8885
Whisky,Tomintoul Small Batch Tawny Port Cask Finish,3890,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_TOMIN0TP0_1.jpg,q1713958287.pagespeed.ic.PUjMY2c5EU.jpg""]",3100
Whisky,Knockando Master Reserve 21 Years,10750,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_KNOCK2100_97_1.jpg,q1713957557.pagespeed.ic.ynDmLz8cY_.jpg""]",6460
Whisky,Laphroaig white can 18 Years,29800,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_LAPHR1800_1.jpg,q1713957246.pagespeed.ic.BSZPbMlcDX.jpg""]",24510
Whisky,Braeval 21 Years 2000/2021,52277,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_BRAES00SI_1.jpg,q1713958267.pagespeed.ic.yMg_v-aNIm.jpg""]",10426
Whisky,Lagavulin Distillers Edition 2000/2016,88942,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_LAGAV00GL_1.jpg,q1718108218.pagespeed.ic.f8rIypC34_.jpg""]",54329
Whisky,Campbeltown Haven The Maltman 10 Years 2014/,19126,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_CAMP10MM_1.jpg,q1728915447.pagespeed.ic.7bI15C2AT-.jpg""]",10433
Whisky,Slyrs Marsala Cask Finish incl. miniature 12 Years 2012/2024,6312,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_SLYRS12MA_1.jpg,q1723188967.pagespeed.ic.1JAGky-Iui.jpg""]",39391
Whisky,Big Peat,3790,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_BIGPE0000_1.jpg,q1727158735.pagespeed.ic.18IH42zWVr.jpg""]",9631
Whisky,Minor Case Sherry Cask Finished,22399,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_MINOR0SH0_1.jpg?1713957419""]",2903
Whisky,Säntis Vin Santo 'Whisky.de exclusive' 7 Years 2021,20220,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_SAENTVINS_1.jpg,q1713958274.pagespeed.ic.jSXfvsnmij.jpg""]",9467
Whisky,Laphroaig with glass 10 Years,4190,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_LAPHR104G_1.jpg,q1727094212.pagespeed.ic.OYGIRWQJJ2.jpg""]",10399
Whisky,Glen Garioch Founders Reserve,3690,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_GGARI00FO_1.jpg,q1713957637.pagespeed.ic.IFXsxvTssv.jpg""]",2800
Whisky,Benriach 16 Years,6990,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_BRIAC1600_1.jpg,q1713957990.pagespeed.ic.RNu7qeKod2.jpg""]",0
Whisky,Ben Nevis The Maltman 23 Years 1999/2022,4923,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_BNEVI99MM_1.jpg,q1713958326.pagespeed.ic.Gh7Raaqqi6.jpg""]",17319
Gin,Saigon Baigur Dry Gin Blossoming Dragon,10041,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XGSAIGO0BD_1.jpg,q1726239784.pagespeed.ic.ay7NKWaBPq.jpg""]",688
Whisky,Yellow Rose Rye,4190,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_YELLO0RO1_1.jpg,q1713958530.pagespeed.ic.icyJVnPBop.jpg""]",28046
Distillery,Strathmill 12 Years,4990,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_STRMI12FF_1.jpg,q1713957594.pagespeed.ic.Y-a29PyCtk.jpg""]",3500
Whisky,Glen Ord Vintage 100 Proof Edition #22 11 Years 2012/2024,47587,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_GORD012S2_1.jpg,q1728397154.pagespeed.ic.jdlNseIQ_7.jpg""]",41355
Whisky,Cotswolds Single Malt Whisky,3990,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_COTSW0015_D1_1.jpg,q1713960374.pagespeed.ic.hTvcIf-vlK.jpg""]",1700
Whisky,Ardbeg Traigh Bhan - Batch 4 19 Years 2003/2022,26800,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_ARDBE19T4_1.jpg,q1713959537.pagespeed.ic.MNkw0fsqpR.jpg""]",18810
Rum,Ron Centenario Reserva Familiar 18,25495,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XRCENTE18RE_1.jpg,q1713958947.pagespeed.ic.ZeNGqh7XUw.jpg""]",7723
Whisky,Spey Tenné,4290,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_SPEY000TE_1.jpg?1713957911""]",3067
Whisky,Hebridean Journey,3490,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_HEBRIJOUR_1.jpg?1713957250""]",11384
Whisky,Currach Atlantic Kombu Seaweed Finish,3990,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_CURRA00KS_1.jpg,q1713961902.pagespeed.ic.ZLLx4ZppbZ.jpg""]",4500
Whisky,Edradour Decanter Bourbon 10 Years 2013/2023,80480,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_EDRADDEB1_1.jpg,q1725981373.pagespeed.ic.TAbjaET3i7.jpg""]",66142
Whisky,Teaninich Bolgheri Un-Chillfiltered 13 Years 2009/2023,85007,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_TEANI09S4_V2_1.jpg?1717425107""]",76356
Gin,The Botanist Islay Cask Aged Gin 3 Years,76940,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XGBOTAICA_1.png,q1725628661.pagespeed.ic.-zllgGcqg4.png""]",62179
Whisky,Halley's Comet Scotch Universe 12 Years 2012/2024,40105,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_HALLE12SU_1.jpg,q1726835031.pagespeed.ic.vV4hKp8Lyf.jpg""]",34834
Whisky,Bowmore Dark & Intense 10 Years,4690,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_BOWMO10DI_1.jpg,q1713958281.pagespeed.ic.69gI8PbkvB.jpg""]",42110
Whisky,Aberlour Select Cask Reserve 15 Years 2017,7890,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_ABERL15CM_1.jpg?1714010754""]",3885
Whisky,Penderyn Faraday,84183,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_PENDE0FA0_1.jpg?1713957721""]",45156
Whisky,Annandale Man O' Swords - Bourbon Cask 2018/2023,34897,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_ANNAN18BO_1.jpg,q1719826334.pagespeed.ic.h2FPy-CcKu.jpg""]",8317
Whisky,Paddy,1990,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_PADDY001L_1.jpg,q1713961630.pagespeed.ic.oSFIR3MqID.jpg""]",6500
Whisky,Famous Grouse Ruby Cask,2499,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_FAMOU0RU0_1.jpg,q1713957727.pagespeed.ic.yvgM7nBRBs.jpg""]",6971
Whisky,Tomatin Marsala - Italian Collection 12 Years 2010/2023,28230,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_TOMAT0MA0_1.jpg,q1713959646.pagespeed.ic.iJuvZlkxrK.jpg""]",13353
Whisky,Lochlea Our Barley,4790,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_LOLEA0OB0_1.jpg?1713957584""]",5893
Whisky,Armorik Maitre de Chai 2023,6579,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_ARMOR0MC0_1.jpg,q1713957551.pagespeed.ic.gKMRVpcDkM.jpg""]",37438
Rum,Camikara Pure Cane Juice Rum 12 Years 2022,9776,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_XRCAMIK12PC_1.jpg?1713963681""]",34296
Gin,Amuerte Coca Leaf Gin - Black Edition,45269,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XGAMUER0CLB_1.jpg,q1713957358.pagespeed.ic.3RUBnJ67hD.jpg""]",6865
Whisky,Suntory Hibiki 21 Years,99800,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_SUNTOHI21_1.jpg?1714120391""]",90810
Whisky,Indri Single Cask Peated Bourbon 5 Years 2024,74912,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_INDRI05PE_1.jpg,q1718619918.pagespeed.ic.UkyfqGKO2Z.jpg""]",67843
Whisky,Glenrothes with 2 glasses 10 Years,4490,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_GROTH10G2_1.jpg,q1713957962.pagespeed.ic.UcJSQUwd4I.jpg""]",500
Whisky,Ledaig 18 Years,13850,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_LEDAI1870_1.jpg,q1713958475.pagespeed.ic.-im6KX2T6k.jpg""]",9360
Whisky,Speyburn with 2 tumblers 10 Years,36972,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_SPEYB10GL_1.jpg?1727371662""]",2360
Whisky,Bruichladdich The Organic 11 Years 2011/,7990,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_BRUIC11OR_1.jpg,q1713958366.pagespeed.ic.ikjtrHaOB4.jpg""]",2100
Whisky,Longmorn 15 Years,26213,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_LONGM1500_1.jpg,q1720020188.pagespeed.ic.JYYigEfZgZ.jpg""]",18322
Rum,The Kraken Black Spiced Rum 1 litre with glass,85953,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XRKRAKE0BS1_1.jpg,q1721989760.pagespeed.ic.D39ktpIDkr.jpg""]",71064
Whisky,Ardbeg Corryvreckan,8690,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_ARDBE0CO0_1.jpg,q1713957634.pagespeed.ic.V8pMLAkWuV.jpg""]",33192
Whisky,Tullibardine The Murray Zinfandel Finish 2012/2023,52130,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_TULLI12ZI_1.jpg,q1713960238.pagespeed.ic.bv9zi7Kyau.jpg""]",13089
Whisky,GlenWyvis 2019/2023,12305,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_GWYVI0001_1.jpg,q1713959459.pagespeed.ic.O8sYj0CCBs.jpg""]",447
Whisky,Glenallachie Oloroso Puncheon 11 Years 2012/2024,13450,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_GALLA12OL_1.jpg,q1713958846.pagespeed.ic.0QdLkk1arE.jpg""]",13764
Whisky,Armorik Classic,3490,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_ARMOR00CL_1.jpg,q1713957681.pagespeed.ic.XUD7PILTKd.jpg""]",5000
Whisky,Seven Seals The Age of Capricorn Peated PX Finish,31645,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_SEVEN0CA0_1.jpg,q1713957915.pagespeed.ic.2ir34hKvWs.jpg""]",28845
Whisky,West Cork Port Cask Finish,2690,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_WESTC0PO0_1.jpg,q1713959386.pagespeed.ic.m8g7Idzt67.jpg""]",3000
Rum,La Maison du Rhum Discovery Paraguay,12240,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XRLAMAIDIPA_1.jpg,q1713961576.pagespeed.ic.GmWdGYllQq.jpg""]",30726
Whisky,Flóki Icelandic Birch Finish 2024,6490,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_FLOKI0IB0_1.jpg,q1719314586.pagespeed.ic.umW5EMug2U.jpg""]",2000
Whisky,Deanston First Fill Guyana Rum Barrel - Best Dram 11 Years 2012/2023,24959,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_DEANS11GB_1.jpg?1713959705""]",20784
Whisky,Slyrs Bavarian Single Malt 18 Years,58892,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_SLYRS1800_1.jpg,q1727166881.pagespeed.ic.QNgg7pPvNB.jpg""]",37029
Whisky,Nikka Yoichi single malt in a set with Riedel tumblers,6070,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_NIKKAYO01G_1.jpg?1727748626""]",7667
Rum,Mount Gay Black Barrel,28232,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XRMOUNT0BB0_1.jpg,q1713957776.pagespeed.ic.yclEsTK3C4.jpg""]",23745
Gifts,"Loch Lomond Live Event Set, small",35327,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_LIVELOCMI_1.jpg?1713960753""]",2450
Rum,Bumbu The Original Rum,35512,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_XRBUMBU0000_1.jpg,q1713958216.pagespeed.ic.G4SyIcYCUv.jpg""]",8927
Whisky,Four Roses Single Barrel 100 Proof,3699,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_FOURRSIBA_1.jpg,q1713957664.pagespeed.ic.Lm77JtsKIM.jpg""]",24180
Whisky,Tamdhu Quercus Alba Distinction III,67632,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_TAMDH0DI3_1.jpg,q1714591042.pagespeed.ic.ElHJ2XguZo.jpg""]",45514
Whisky,Glentauchers 1991/2009,83619,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_GTAUC91GM_1.jpg,q1713957911.pagespeed.ic.63aAY4QL2d.jpg""]",40527
Whisky,Juniper Hill Moscatel Wine Cask Mystery Malt 8 Years 2015/2024,50084,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_JUNHI08MD_1.jpg,q1718614649.pagespeed.ic.eiqQotML4n.jpg""]",17894
Whisky,Jack Daniel's American Single Malt,27457,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_JACKD0SM0_1.jpg,q1720437323.pagespeed.ic.NXmeBvTnq9.jpg""]",9052
Gifts,Miniature Assortment Tobermory Gin & Whisky Tasting Set,79013,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_MINISOTOB_1.jpg?1713959499""]",36217
Whisky,Torabhaig Legacy Series Allt Gleann,5490,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_TORAB0LS2_1.jpg?1713960117""]",28651
Whisky,Tullibardine The Murray 2008/2021,5990,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/image_TULLI08BO_1.jpg?1713958356""]",2300
Whisky,Peat's Beast,3490,"[""https:\/\/www.whisky.de\/shop\/out\/pictures\/generated\/product\/1\/2200_2200_75\/ximage_PEATB0000_1.jpg,q1713957272.pagespeed.ic.gwAh9siPdU.jpg""]",40145
